timestamp,pool_id,chain,asset_symbol,apy,project,tvlUsd
2025-11-10T16:12:17.642208,363e5586-cfee-402c-9b0b-be70366052e8,Optimism,DAI,3.81112,aave-v3,161597
2025-11-10T16:12:17.642208,4ef4eb9a-e22e-4190-b8f3-8c75373ad0d6,Ethereum,FRAX,1.65708,aave-v3,119549
2025-11-10T16:12:17.642208,5e498f38-9d6f-49b7-a197-9068103f9866,zkSync Era,USDC,5.05975,aave-v3,102839
2025-11-10T16:12:17.642208,8a561627-3d0c-436a-805c-8490c68fe014,zkSync Era,USDT,2.78522,aave-v3,92701
2025-11-10T16:12:17.642208,8d4d3acb-e1bf-471a-8256-36b90a8f4d25,Arbitrum,FRAX,1.14995,aave-v3,91118
2025-11-10T16:12:17.642208,325ad2d6-70b1-48d7-a557-c2c99a036f87,Ethereum,USDC,5.03496,morpho-v0-aavev2,45172
2025-11-10T16:12:17.642208,3cebd626-5ee5-4699-9f6c-090918bc5ebd,Metis,M.DAI,0.00549,aave-v3,32558
2025-11-10T16:12:17.642208,1343a280-7812-4bc3-8f98-d1c37e11d271,Ethereum,USDT,4.49855,morpho-v0-aavev2,17090
2025-11-10T16:34:51.488151,7e382157-b1bc-406d-b17b-facba43b716e,Ethereum,WBTC,0.00433,aave-v3,4489851420
2025-11-10T16:34:51.488151,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,Ethereum,USDT,4.54111,aave-v3,612904583
2025-11-10T16:34:51.488151,aa70268e-4b52-42bf-a116-608b370f9501,Ethereum,USDC,4.96362,aave-v3,358511779
2025-11-10T16:34:51.488151,569ab5a6-76e4-46a6-abb6-b12be4197e31,Plasma,SYRUPUSDT,0.0,aave-v3,329999311
2025-11-10T16:34:51.488151,7c5e69a4-2430-4fa2-b7cb-857f79d7d1bf,Arbitrum,WBTC,0.00978,aave-v3,261505060
2025-11-10T16:34:51.488151,e338c687-a5d8-4abf-bc04-127990811b0a,Plasma,USDT0,4.97316,aave-v3,161199207
2025-11-10T16:34:51.488151,58d18059-f1d1-45ed-acd3-f386e98cc506,Polygon,WBTC,0.00112,aave-v3,108342364
2025-11-10T16:34:51.488151,7e0661bf-8cf3-45e6-9424-31916d4c7b84,Base,USDC,4.60335,aave-v3,88897285
2025-11-10T16:34:51.488151,d9fa8e14-0447-4207-9ae8-7810199dfa1f,Arbitrum,USDC,3.6381,aave-v3,62621366
2025-11-10T16:34:51.488151,baee0253-eb6e-4a08-a579-a2acd4f034b2,Ethereum,USDTB,1.78208,aave-v3,46780333
2025-11-10T16:34:51.488151,e6692d08-85b6-4b50-952b-7c5c531862fe,Avalanche,USDT,2.25733,aave-v3,40504855
2025-11-10T16:34:51.488151,c4b05318-88af-4536-a834-f5fc8940d2d3,Avalanche,USDC,3.55716,aave-v3,38198361
2025-11-10T16:34:51.488151,e053590b-54f1-40aa-ae0d-14e701ca734c,Optimism,WBTC,0.00621,aave-v3,32198220
2025-11-10T16:34:51.488151,29be6a85-414f-4a66-b075-98863278912a,BSC,USDT,2.64338,aave-v3,29494495
2025-11-10T16:34:51.488151,32f04d80-25f9-439f-838d-3b15becf2d21,Gnosis,SDAI,0.0,aave-v3,20296124
2025-11-10T16:34:51.488151,9bf5faf4-32e3-437e-8080-c38eae10cfa6,Sonic,USDC,1.11116,aave-v3,16141099
2025-11-10T16:34:51.488151,7e7821a2-3d20-4ae7-9c3d-04cd57904555,Polygon,USDT0,3.74284,aave-v3,14096254
2025-11-10T16:34:51.488151,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,Ethereum,DAI,4.09866,aave-v3,13782309
2025-11-10T16:34:51.488151,1b8b4cdb-0728-42a8-bf13-2c8fea7427ee,Polygon,USDC,3.82646,aave-v3,13493930
2025-11-10T16:34:51.488151,6817bab0-5389-40a0-84d1-78830c1d81aa,Linea,USDT,1.67303,aave-v3,8667207
2025-11-10T16:34:51.488151,15cf7c05-b5f0-4bde-8745-a791528c4381,BSC,USDC,2.75329,aave-v3,8057505
2025-11-10T16:34:51.488151,0758c3b8-4ffb-4176-b0a9-f446e367db46,Optimism,USDC,3.42205,aave-v3,6354565
2025-11-10T16:34:51.488151,5a49dee1-344d-4b50-a167-8f5faab08752,Linea,USDC,4.60394,aave-v3,4828789
2025-11-10T16:34:51.488151,e68ecfb4-ba44-49e9-9626-31299405b520,Linea,WBTC,0.01838,aave-v3,3797420
2025-11-10T16:34:51.488151,a8e3d841-2788-4647-ad54-5a36fac451b1,Arbitrum,DAI,2.62843,aave-v3,1903773
2025-11-10T16:34:51.488151,3e669ce8-74c5-4fc9-bf85-f40a924c6407,Avalanche,DAI.E,1.98467,aave-v3,1818729
2025-11-10T16:34:51.488151,bde08c85-41c5-4d80-9bb1-0835a4352efa,Optimism,USDT,4.48583,aave-v3,1545344
2025-11-10T16:34:51.488151,c57bdc97-3100-41ff-845f-075363f6f5a4,Polygon,DAI,4.05666,aave-v3,1527500
2025-11-10T16:34:51.488151,461505e0-e631-4af0-b0e9-6a861d917939,Gnosis,USDC.E,3.94909,aave-v3,1450494
2025-11-10T16:34:51.488151,effcb4a4-4dcb-45e5-935d-f15542c13e6b,Ethereum,USDC,3.92472,aave-v3,1114708
2025-11-10T16:34:51.488151,24762515-822a-46af-927c-77a1dc449bd0,Optimism,USDC,1.73645,aave-v3,1045602
2025-11-10T16:34:51.488151,37b04faa-95bb-4ccb-9c4e-c70fa167342b,Polygon,USDC,2.97303,aave-v3,889413
2025-11-10T16:34:51.488151,78c4b5eb-6e36-4c3a-94b5-779e37dbf9a4,Celo,USDC,2.94654,aave-v3,671769
2025-11-10T16:34:51.488151,7aab7b0f-01c1-4467-bc0d-77826d870f19,Arbitrum,USDC,2.72602,aave-v3,553781
2025-11-10T16:34:51.488151,814326a1-e8f9-4dcd-9b35-952350ab74f7,Ethereum,FRAX,0.00181,aave-v3,533152
2025-11-10T16:34:51.488151,a214e900-2bcd-431f-9744-632fa5436fee,Ethereum,SDAI,0.0,aave-v3,479490
2025-11-10T16:34:51.488151,0cfcfe3b-29ff-47ff-97fa-078bf4755863,Metis,M.USDT,3.39442,aave-v3,421444
2025-11-10T16:34:51.488151,ec762755-29a1-41d8-957f-0b00dcf00dd6,Scroll,USDC,2.00033,aave-v3,290359
2025-11-10T16:34:51.488151,21091399-1187-4242-8e03-9b06032f9a8f,Gnosis,WXDAI,4.02593,aave-v3,283665
2025-11-10T16:34:51.488151,1c4598df-177c-4de8-a53b-3baa3fc49932,Metis,M.USDC,4.586,aave-v3,234409
2025-11-10T16:34:51.488151,ff61171d-d7b0-4989-816c-b9bf02a15f00,Ethereum,WBTC,7.58228,morpho-v0-aavev2,208522
2025-11-10T16:34:51.488151,363e5586-cfee-402c-9b0b-be70366052e8,Optimism,DAI,3.81112,aave-v3,162519
2025-11-10T16:34:51.488151,4ef4eb9a-e22e-4190-b8f3-8c75373ad0d6,Ethereum,FRAX,1.65708,aave-v3,119499
2025-11-10T16:34:51.488151,5e498f38-9d6f-49b7-a197-9068103f9866,zkSync Era,USDC,5.05975,aave-v3,102836
2025-11-10T16:34:51.488151,8a561627-3d0c-436a-805c-8490c68fe014,zkSync Era,USDT,2.78522,aave-v3,93004
2025-11-10T16:34:51.488151,8d4d3acb-e1bf-471a-8256-36b90a8f4d25,Arbitrum,FRAX,1.14995,aave-v3,91079
2025-11-10T16:34:51.488151,325ad2d6-70b1-48d7-a557-c2c99a036f87,Ethereum,USDC,5.03496,morpho-v0-aavev2,45172
2025-11-10T16:34:51.488151,3cebd626-5ee5-4699-9f6c-090918bc5ebd,Metis,M.DAI,0.00549,aave-v3,32557
2025-11-10T16:34:51.488151,1343a280-7812-4bc3-8f98-d1c37e11d271,Ethereum,USDT,4.49855,morpho-v0-aavev2,17090
2025-11-10T17:24:19.384130,7e382157-b1bc-406d-b17b-facba43b716e,Ethereum,WBTC,0.00433,aave-v3,4502249126
2025-11-10T17:24:19.384130,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,Ethereum,USDT,4.62957,aave-v3,570489346
2025-11-10T17:24:19.384130,aa70268e-4b52-42bf-a116-608b370f9501,Ethereum,USDC,4.94144,aave-v3,368799023
2025-11-10T17:24:19.384130,569ab5a6-76e4-46a6-abb6-b12be4197e31,Plasma,SYRUPUSDT,0.0,aave-v3,329940230
2025-11-10T17:24:19.384130,7c5e69a4-2430-4fa2-b7cb-857f79d7d1bf,Arbitrum,WBTC,0.00989,aave-v3,261782996
2025-11-10T17:24:19.384130,e338c687-a5d8-4abf-bc04-127990811b0a,Plasma,USDT0,5.04421,aave-v3,149786370
2025-11-10T17:24:19.384130,58d18059-f1d1-45ed-acd3-f386e98cc506,Polygon,WBTC,0.00109,aave-v3,108433973
2025-11-10T17:24:19.384130,7e0661bf-8cf3-45e6-9424-31916d4c7b84,Base,USDC,4.60199,aave-v3,88959921
2025-11-10T17:24:19.384130,d9fa8e14-0447-4207-9ae8-7810199dfa1f,Arbitrum,USDC,3.73444,aave-v3,59739500
2025-11-10T17:24:19.384130,baee0253-eb6e-4a08-a579-a2acd4f034b2,Ethereum,USDTB,1.78402,aave-v3,46757490
2025-11-10T17:24:19.384130,e6692d08-85b6-4b50-952b-7c5c531862fe,Avalanche,USDT,2.25874,aave-v3,40477263
2025-11-10T17:24:19.384130,c4b05318-88af-4536-a834-f5fc8940d2d3,Avalanche,USDC,3.55818,aave-v3,38169345
2025-11-10T17:24:19.384130,e053590b-54f1-40aa-ae0d-14e701ca734c,Optimism,WBTC,0.00621,aave-v3,32265067
2025-11-10T17:24:19.384130,29be6a85-414f-4a66-b075-98863278912a,BSC,USDT,2.65297,aave-v3,29380126
2025-11-10T17:24:19.384130,32f04d80-25f9-439f-838d-3b15becf2d21,Gnosis,SDAI,0.0,aave-v3,20294174
2025-11-10T17:24:19.384130,9bf5faf4-32e3-437e-8080-c38eae10cfa6,Sonic,USDC,1.11038,aave-v3,16149277
2025-11-10T17:24:19.384130,7e7821a2-3d20-4ae7-9c3d-04cd57904555,Polygon,USDT0,3.75691,aave-v3,14022011
2025-11-10T17:24:19.384130,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,Ethereum,DAI,4.09866,aave-v3,13795996
2025-11-10T17:24:19.384130,1b8b4cdb-0728-42a8-bf13-2c8fea7427ee,Polygon,USDC,3.84971,aave-v3,13365660
2025-11-10T17:24:19.384130,6817bab0-5389-40a0-84d1-78830c1d81aa,Linea,USDT,1.67449,aave-v3,8649702
2025-11-10T17:24:19.384130,15cf7c05-b5f0-4bde-8745-a791528c4381,BSC,USDC,2.73493,aave-v3,8148874
2025-11-10T17:24:19.384130,0758c3b8-4ffb-4176-b0a9-f446e367db46,Optimism,USDC,3.42409,aave-v3,6347896
2025-11-10T17:24:19.384130,5a49dee1-344d-4b50-a167-8f5faab08752,Linea,USDC,4.65815,aave-v3,4595381
2025-11-10T17:24:19.384130,e68ecfb4-ba44-49e9-9626-31299405b520,Linea,WBTC,0.01838,aave-v3,3819445
2025-11-10T17:24:19.384130,a8e3d841-2788-4647-ad54-5a36fac451b1,Arbitrum,DAI,2.61476,aave-v3,1922747
2025-11-10T17:24:19.384130,3e669ce8-74c5-4fc9-bf85-f40a924c6407,Avalanche,DAI.E,1.98467,aave-v3,1819373
2025-11-10T17:24:19.384130,bde08c85-41c5-4d80-9bb1-0835a4352efa,Optimism,USDT,4.33239,aave-v3,1748580
2025-11-10T17:24:19.384130,c57bdc97-3100-41ff-845f-075363f6f5a4,Polygon,DAI,4.05683,aave-v3,1527528
2025-11-10T17:24:19.384130,461505e0-e631-4af0-b0e9-6a861d917939,Gnosis,USDC.E,3.94909,aave-v3,1452607
2025-11-10T17:24:19.384130,effcb4a4-4dcb-45e5-935d-f15542c13e6b,Ethereum,USDC,3.92472,aave-v3,1114613
2025-11-10T17:24:19.384130,24762515-822a-46af-927c-77a1dc449bd0,Optimism,USDC,1.73885,aave-v3,1044322
2025-11-10T17:24:19.384130,37b04faa-95bb-4ccb-9c4e-c70fa167342b,Polygon,USDC,2.96625,aave-v3,894071
2025-11-10T17:24:19.384130,78c4b5eb-6e36-4c3a-94b5-779e37dbf9a4,Celo,USDC,2.9204,aave-v3,678765
